,Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
35358,Martinique,MTQ,2020,2.100146,0.0,2.100146,0.0,0.0,0.0,,5.670077
35359,Martinique,MTQ,2021,2.100146,0.0,2.100146,0.0,0.0,0.0,,5.6946
35626,Mauritania,MRT,2016,2.6271,0.0,2.535488,0.0,0.0,0.091612,,0.648364
35627,Mauritania,MRT,2017,3.419924,0.0,3.345232,0.0,0.0,0.074692,,0.822094
35628,Mauritania,MRT,2018,3.664324,0.0,3.664324,0.0,0.0,0.0,,0.858012
35629,Mauritania,MRT,2019,3.77392,0.0,3.77392,0.0,0.0,0.0,,0.860869
35630,Mauritania,MRT,2020,3.855281,0.0,3.855281,0.0,0.0,0.0,,0.856995
35631,Mauritania,MRT,2021,4.118111,0.0,4.118111,0.0,0.0,0.0,,0.892337
35898,Mauritius,MUS,2016,4.345504,1.714752,2.630752,0.0,0.0,0.0,,3.358426
35899,Mauritius,MUS,2017,4.536032,1.784368,2.751664,0.0,0.0,0.0,,3.503428
35900,Mauritius,MUS,2018,4.514048,1.696432,2.817616,0.0,0.0,0.0,,3.484726
35901,Mauritius,MUS,2019,4.521376,1.560864,2.960512,0.0,0.0,0.0,,3.487965
35902,Mauritius,MUS,2020,4.208353,1.523079,2.685274,0.0,0.0,0.0,,3.242612
35903,Mauritius,MUS,2021,4.471674,1.637295,2.834379,0.0,0.0,0.0,,3.442622
36170,Mayotte,MYT,2016,0.300528,0.0,0.300528,0.0,0.0,0.0,,1.154621
36171,Mayotte,MYT,2017,0.296538,0.0,0.296538,0.0,0.0,0.0,,1.091959
36172,Mayotte,MYT,2018,0.294822,0.0,0.294822,0.0,0.0,0.0,,1.041943
36173,Mayotte,MYT,2019,0.302031,0.0,0.302031,0.0,0.0,0.0,,1.02561
36174,Mayotte,MYT,2020,0.273281,0.0,0.273281,0.0,0.0,0.0,,0.894282
36175,Mayotte,MYT,2021,0.273281,0.0,0.273281,0.0,0.0,0.0,,0.864775
36442,Mexico,MEX,2016,479.789752,47.621008,251.592224,151.455104,20.599338,8.522078,,3.948262
36443,Mexico,MEX,2017,465.620953,48.52968,245.839744,143.251408,20.876858,7.123264,,3.79049
36444,Mexico,MEX,2018,475.268909,47.313232,233.825488,165.90592,20.863843,7.360426,,3.832385
36445,Mexico,MEX,2019,472.191499,45.26801,241.897149,157.098863,19.497632,8.429845,,3.774956
36446,Mexico,MEX,2020,391.706208,20.011074,190.678139,149.524596,20.650326,10.842073,,3.108821
36447,Mexico,MEX,2021,407.205037,19.360577,195.715517,157.552711,22.339198,12.237033,,3.213801
36714,Mongolia,MNG,2016,25.629142,22.5336,2.887232,0.0,0.191709,0.0166,,8.459705
36715,Mongolia,MNG,2017,34.135359,30.070881,3.75886,0.0,0.299546,0.006072,,11.025526
36716,Mongolia,MNG,2018,45.315639,40.9452,3.953456,0.0,0.414482,0.0025,,14.322303
36717,Mongolia,MNG,2019,47.254523,41.76185,5.005413,0.0,0.487261,0.0,,14.618885
36718,Mongolia,MNG,2020,49.605189,43.835373,5.282386,0.0,0.487261,0.000169,,15.057725
36719,Mongolia,MNG,2021,50.315914,44.400088,5.428566,0.0,0.487261,0.0,,15.029627
